Time,X_L,Y_L,Z_L,VX_L,VY_L,VZ_L,FX_L,FY_L,FZ_L,X_R,Y_R,Z_R,VX_R,VY_R,VZ_R,FX_R,FY_R,FZ_R,Frequency
2026-02-19 16:10:52.609,-0.1188613548874855,-0.4776725769042969,-0.2485339343547821,-0.00015270602307282388,0.00012457543925847858,-0.0002929627662524581,0,0,0,-0.166769340634346,0.3573252856731415,-0.3674176335334778,0.09492519497871399,0.35765179991722107,0.23156505823135376,0,0,0,7
2026-02-19 16:10:52.686,-0.11881611496210098,-0.4776618182659149,-0.24855509400367737,0.0002676169970072806,0.0001724377361824736,-0.0003316370421089232,0,0,0,-0.16038179397583008,0.3792622983455658,-0.35275349020957947,0.07195662707090378,0.24155592918395996,0.16099320352077484,0,0,0,7
2026-02-19 16:10:52.765,-0.11885599046945572,-0.4776761829853058,-0.24852870404720306,-0.0010221529519185424,0.00018591269326861948,-2.630522612889763E-05,0,0,0,-0.15664514899253845,0.3899412751197815,-0.3462147116661072,0.03404424339532852,0.08824633806943893,0.052830155938863754,0,0,0,7
2026-02-19 16:10:52.844,-0.11890160292387009,-0.47767943143844604,-0.2485368698835373,-0.0005705985240638256,0.0005245331558398902,-0.0007793185068294406,0,0,0,-0.15794657170772552,0.38795843720436096,-0.34778156876564026,-0.03870100528001785,-0.069088876247406,-0.04869109019637108,0,0,0,7
2026-02-19 16:10:52.922,-0.1188846006989479,-0.47765520215034485,-0.24856849014759064,0.0008549235062673688,0.00013493844016920775,-0.00024056536494754255,0,0,0,-0.16213010251522064,0.37895214557647705,-0.35421180725097656,-0.06895502656698227,-0.17305739223957062,-0.12700948119163513,0,0,0,7
2026-02-19 16:10:53.002,-0.11885619163513184,-0.4776468873023987,-0.24857869744300842,0.0008409503498114645,6.71654925099574E-06,-5.5621363571844995E-05,0,0,0,-0.1669999361038208,0.3609331548213959,-0.36601248383522034,-0.05564283952116966,-0.2514598071575165,-0.15691164135932922,0,0,0,7
2026-02-19 16:10:53.081,-0.11887264996767044,-0.47761690616607666,-0.2486240267753601,0.0004794285341631621,0.000770670420024544,-0.0012416006065905094,0,0,0,-0.17234265804290771,0.335840106010437,-0.38042035698890686,-0.07135111093521118,-0.34035617113113403,-0.189193993806839,0,0,0,6
2026-02-19 16:10:53.151,-0.1188502088189125,-0.4776236116886139,-0.24861083924770355,0.0002298011095263064,-3.984379509347491E-05,-3.503666812321171E-05,0,0,0,-0.17712663114070892,0.30955472588539124,-0.3937259018421173,-0.07357931137084961,-0.43255099654197693,-0.21109803020954132,0,0,0,6
2026-02-19 16:10:53.231,-0.11879511177539825,-0.4776671528816223,-0.24854429066181183,-3.4924134524771944E-05,-2.743037839536555E-05,0.0002365423133596778,0,0,0,-0.18307748436927795,0.2621278762817383,-0.41415801644325256,-0.07065372169017792,-0.6213019490242004,-0.2508494555950165,0,0,0,6
2026-02-19 16:10:53.310,-0.11891063302755356,-0.47766512632369995,-0.24854977428913116,-0.002127612242475152,3.465549525571987E-05,0.00013831949036102742,0,0,0,-0.19056524336338043,0.20224837958812714,-0.43624642491340637,-0.09520870447158813,-0.8220391869544983,-0.29163435101509094,0,0,0,6
2026-02-19 16:10:53.389,-0.118850477039814,-0.4776422679424286,-0.24858447909355164,0.000992978923022747,0.0006064760964363813,-0.0008713203715160489,0,0,0,-0.1951112151145935,0.11364538222551346,-0.4617491364479065,-0.02218855917453766,-0.9714556932449341,-0.24049340188503265,0,0,0,6
2026-02-19 16:10:53.467,-0.11891525238752365,-0.4776514768600464,-0.24857056140899658,-0.0008496282971464097,-2.9876506232540123E-05,-1.8391005141893402E-05,0,0,0,-0.19111068546772003,0.03557138890028,-0.4769361615180969,0.09071502089500427,-1.0006253719329834,-0.17581862211227417,0,0,0,6
2026-02-19 16:10:53.547,-0.1189126968383789,-0.477651447057724,-0.2485712468624115,0.0007753588724881411,0.00036595092387869954,-0.0005688808741979301,0,0,0,-0.18142889440059662,-0.02837543562054634,-0.48513346910476685,0.16032953560352325,-1.00459623336792,-0.10269033908843994,0,0,0,6
2026-02-19 16:10:53.630,-0.11889281123876572,-0.4776510000228882,-0.24857409298419952,-9.527258953312412E-05,-0.0003880620060954243,0.0006248467252589762,0,0,0,-0.16859763860702515,-0.10318788886070251,-0.48569977283477783,0.18626698851585388,-0.9934335350990295,0.032331034541130066,0,0,0,6
2026-02-19 16:10:53.709,-0.11888635903596878,-0.47766828536987305,-0.2485537976026535,-0.00011255051504122093,-2.4878634576452896E-05,-7.897932664491236E-05,0,0,0,-0.13945609331130981,-0.1972023844718933,-0.4733874797821045,0.32921555638313293,-0.868102490901947,0.16757036745548248,0,0,0,6
2026-02-19 16:10:53.789,-0.11890135705471039,-0.4776674211025238,-0.2485559731721878,-0.0006610400741919875,-0.0005072592757642269,0.0007956320769153535,0,0,0,-0.11705328524112701,-0.2483251839876175,-0.4581671953201294,0.36208343505859375,-0.7744173407554626,0.2589777112007141,0,0,0,6
